"beta_h","kappa_h","kappa_1"
0.12564580168122,0.00181862487834413,0.0000212045026148324
0.117005855232399,0.00266647356010641,0.0000401097187042556
0.111020321713416,0.00199645970449982,0.0000300165192219721
0.115676180443724,0.00225179009877811,0.0000258211583612859
0.123205879383629,0.00137708290640132,0.0000342572194189578
0.116628815919781,0.00094078513684483,0.0000334048566941598
0.108508628000596,0.00127632907745495,0.0000385934503524112
0.122316219994406,0.00216468650284755,0.0000223959962254763
0.117638203510176,0.00071702410862382,0.0000268641691424698
0.109721225265776,0.00089250072685669,0.00003745642547832
0.114163291576554,0.00147952102384064,0.0000431024816630355
0.113332883404871,0.00161355289871738,0.0000357393799970405
0.111568111905148,0.00282086727498033,0.0000247600202015149
0.121667977634764,0.000767724833370053,0.0000232486719655352
0.112392193061722,0.00118321710475122,0.0000282946879311545
0.11524459827875,0.00252979511641565,0.0000303586035889068
0.121867530502822,0.00274634799250801,0.0000404630813896762
0.119556985169485,0.00109797111463267,0.00002185421970443
0.120370606816255,0.00103876196381303,0.0000450978915529805
0.114652706949929,0.00334819058497636,0.0000435448032673555
0.124480937184468,0.00188705627557555,0.0000411089714259654
0.118984014510058,0.00300772832548179,0.0000422038647729797
0.120848006654017,0.00156584479780469,0.0000244201899917849
0.109224609269723,0.000551207195213065,0.0000194664250068047
0.124973318781865,0.00214675939412322,0.0000351721029346862
0.11029794235231,0.00259731713366429,0.0000368247284789809
0.118416708801294,0.00237210272179185,0.0000273226023592374
0.11199100189298,0.000629637493167206,0.0000206639634190393
0.116260069341095,0.00325700237721005,0.000018649838027837
0.124210045351421,0.00195994230284422,0.0000393341412350003
0.110607743307149,0.00310228041487014,0.0000290151732805265
0.117866731327754,0.00319889469910945,0.0000325740956551475
0.113818537417152,0.00295268458872368,0.000032011680245176
0.123427557680574,0.0017329347134162,0.0000443286656777774
0.119911043987314,0.00241985346233738,0.0000309680877571872
