"","num_vacc_per_case","scenario"
"1",7101,"Scenario 4 (low transmissibilty in hospital)"
"2",3586,"Scenario 4 (low transmissibilty in hospital)"
"3",2404,"Scenario 4 (low transmissibilty in hospital)"
"4",1805,"Scenario 4 (low transmissibilty in hospital)"
"5",1445,"Scenario 4 (low transmissibilty in hospital)"
"6",1205,"Scenario 4 (low transmissibilty in hospital)"
"7",1033,"Scenario 4 (low transmissibilty in hospital)"
"8",905,"Scenario 4 (low transmissibilty in hospital)"
"9",804,"Scenario 4 (low transmissibilty in hospital)"
"10",724,"Scenario 4 (low transmissibilty in hospital)"
"11",7173,"Scenario 4 (low transmissibilty in hospital)"
"12",7173,"Scenario 4 (low transmissibilty in hospital)"
"13",3623,"Scenario 4 (low transmissibilty in hospital)"
"14",3623,"Scenario 4 (low transmissibilty in hospital)"
"15",2423,"Scenario 4 (low transmissibilty in hospital)"
"16",2423,"Scenario 4 (low transmissibilty in hospital)"
"17",1824,"Scenario 4 (low transmissibilty in hospital)"
"18",1824,"Scenario 4 (low transmissibilty in hospital)"
"19",1462,"Scenario 4 (low transmissibilty in hospital)"
"20",1462,"Scenario 4 (low transmissibilty in hospital)"
"21",1221,"Scenario 4 (low transmissibilty in hospital)"
"22",1221,"Scenario 4 (low transmissibilty in hospital)"
"23",1049,"Scenario 4 (low transmissibilty in hospital)"
"24",1049,"Scenario 4 (low transmissibilty in hospital)"
"25",920,"Scenario 4 (low transmissibilty in hospital)"
"26",920,"Scenario 4 (low transmissibilty in hospital)"
"27",819,"Scenario 4 (low transmissibilty in hospital)"
"28",819,"Scenario 4 (low transmissibilty in hospital)"
"29",739,"Scenario 4 (low transmissibilty in hospital)"
"30",739,"Scenario 4 (low transmissibilty in hospital)"
"31",7229,"Scenario 4 (low transmissibilty in hospital)"
"32",7229,"Scenario 4 (low transmissibilty in hospital)"
"33",3643,"Scenario 4 (low transmissibilty in hospital)"
"34",3643,"Scenario 4 (low transmissibilty in hospital)"
"35",2441,"Scenario 4 (low transmissibilty in hospital)"
"36",2441,"Scenario 4 (low transmissibilty in hospital)"
"37",1837,"Scenario 4 (low transmissibilty in hospital)"
"38",1837,"Scenario 4 (low transmissibilty in hospital)"
"39",1478,"Scenario 4 (low transmissibilty in hospital)"
"40",1478,"Scenario 4 (low transmissibilty in hospital)"
"41",1236,"Scenario 4 (low transmissibilty in hospital)"
"42",1236,"Scenario 4 (low transmissibilty in hospital)"
"43",1064,"Scenario 4 (low transmissibilty in hospital)"
"44",1064,"Scenario 4 (low transmissibilty in hospital)"
"45",935,"Scenario 4 (low transmissibilty in hospital)"
"46",935,"Scenario 4 (low transmissibilty in hospital)"
"47",834,"Scenario 4 (low transmissibilty in hospital)"
"48",834,"Scenario 4 (low transmissibilty in hospital)"
"49",754,"Scenario 4 (low transmissibilty in hospital)"
"50",754,"Scenario 4 (low transmissibilty in hospital)"
"51",7258,"Scenario 4 (low transmissibilty in hospital)"
"52",7258,"Scenario 4 (low transmissibilty in hospital)"
"53",7258,"Scenario 4 (low transmissibilty in hospital)"
"54",3660,"Scenario 4 (low transmissibilty in hospital)"
"55",3660,"Scenario 4 (low transmissibilty in hospital)"
"56",3660,"Scenario 4 (low transmissibilty in hospital)"
"57",2457,"Scenario 4 (low transmissibilty in hospital)"
"58",2457,"Scenario 4 (low transmissibilty in hospital)"
"59",2457,"Scenario 4 (low transmissibilty in hospital)"
"60",1853,"Scenario 4 (low transmissibilty in hospital)"
"61",1853,"Scenario 4 (low transmissibilty in hospital)"
"62",1853,"Scenario 4 (low transmissibilty in hospital)"
"63",1491,"Scenario 4 (low transmissibilty in hospital)"
"64",1491,"Scenario 4 (low transmissibilty in hospital)"
"65",1491,"Scenario 4 (low transmissibilty in hospital)"
"66",1251,"Scenario 4 (low transmissibilty in hospital)"
"67",1251,"Scenario 4 (low transmissibilty in hospital)"
"68",1251,"Scenario 4 (low transmissibilty in hospital)"
"69",1079,"Scenario 4 (low transmissibilty in hospital)"
"70",1079,"Scenario 4 (low transmissibilty in hospital)"
"71",1079,"Scenario 4 (low transmissibilty in hospital)"
"72",950,"Scenario 4 (low transmissibilty in hospital)"
"73",950,"Scenario 4 (low transmissibilty in hospital)"
"74",950,"Scenario 4 (low transmissibilty in hospital)"
"75",850,"Scenario 4 (low transmissibilty in hospital)"
"76",850,"Scenario 4 (low transmissibilty in hospital)"
"77",850,"Scenario 4 (low transmissibilty in hospital)"
"78",769,"Scenario 4 (low transmissibilty in hospital)"
"79",769,"Scenario 4 (low transmissibilty in hospital)"
"80",769,"Scenario 4 (low transmissibilty in hospital)"
"81",7285,"Scenario 4 (low transmissibilty in hospital)"
