"","num_vacc_per_case","scenario"
"1",873,"Scenario 5 (high transmissibility in hospital)"
"2",873,"Scenario 5 (high transmissibility in hospital)"
"3",873,"Scenario 5 (high transmissibility in hospital)"
"4",873,"Scenario 5 (high transmissibility in hospital)"
"5",873,"Scenario 5 (high transmissibility in hospital)"
"6",436,"Scenario 5 (high transmissibility in hospital)"
"7",436,"Scenario 5 (high transmissibility in hospital)"
"8",436,"Scenario 5 (high transmissibility in hospital)"
"9",436,"Scenario 5 (high transmissibility in hospital)"
"10",436,"Scenario 5 (high transmissibility in hospital)"
"11",290,"Scenario 5 (high transmissibility in hospital)"
"12",290,"Scenario 5 (high transmissibility in hospital)"
"13",290,"Scenario 5 (high transmissibility in hospital)"
"14",290,"Scenario 5 (high transmissibility in hospital)"
"15",290,"Scenario 5 (high transmissibility in hospital)"
"16",217,"Scenario 5 (high transmissibility in hospital)"
"17",217,"Scenario 5 (high transmissibility in hospital)"
"18",217,"Scenario 5 (high transmissibility in hospital)"
"19",217,"Scenario 5 (high transmissibility in hospital)"
"20",217,"Scenario 5 (high transmissibility in hospital)"
"21",173,"Scenario 5 (high transmissibility in hospital)"
"22",173,"Scenario 5 (high transmissibility in hospital)"
"23",173,"Scenario 5 (high transmissibility in hospital)"
"24",173,"Scenario 5 (high transmissibility in hospital)"
"25",173,"Scenario 5 (high transmissibility in hospital)"
"26",144,"Scenario 5 (high transmissibility in hospital)"
"27",144,"Scenario 5 (high transmissibility in hospital)"
"28",144,"Scenario 5 (high transmissibility in hospital)"
"29",144,"Scenario 5 (high transmissibility in hospital)"
"30",144,"Scenario 5 (high transmissibility in hospital)"
"31",123,"Scenario 5 (high transmissibility in hospital)"
"32",123,"Scenario 5 (high transmissibility in hospital)"
"33",123,"Scenario 5 (high transmissibility in hospital)"
"34",123,"Scenario 5 (high transmissibility in hospital)"
"35",123,"Scenario 5 (high transmissibility in hospital)"
"36",108,"Scenario 5 (high transmissibility in hospital)"
"37",108,"Scenario 5 (high transmissibility in hospital)"
"38",108,"Scenario 5 (high transmissibility in hospital)"
"39",108,"Scenario 5 (high transmissibility in hospital)"
"40",108,"Scenario 5 (high transmissibility in hospital)"
"41",96,"Scenario 5 (high transmissibility in hospital)"
"42",96,"Scenario 5 (high transmissibility in hospital)"
"43",96,"Scenario 5 (high transmissibility in hospital)"
"44",96,"Scenario 5 (high transmissibility in hospital)"
"45",96,"Scenario 5 (high transmissibility in hospital)"
"46",86,"Scenario 5 (high transmissibility in hospital)"
"47",86,"Scenario 5 (high transmissibility in hospital)"
"48",86,"Scenario 5 (high transmissibility in hospital)"
"49",86,"Scenario 5 (high transmissibility in hospital)"
"50",86,"Scenario 5 (high transmissibility in hospital)"
"51",874,"Scenario 5 (high transmissibility in hospital)"
"52",874,"Scenario 5 (high transmissibility in hospital)"
"53",874,"Scenario 5 (high transmissibility in hospital)"
"54",874,"Scenario 5 (high transmissibility in hospital)"
"55",874,"Scenario 5 (high transmissibility in hospital)"
"56",874,"Scenario 5 (high transmissibility in hospital)"
"57",874,"Scenario 5 (high transmissibility in hospital)"
"58",874,"Scenario 5 (high transmissibility in hospital)"
"59",874,"Scenario 5 (high transmissibility in hospital)"
"60",874,"Scenario 5 (high transmissibility in hospital)"
"61",436,"Scenario 5 (high transmissibility in hospital)"
"62",436,"Scenario 5 (high transmissibility in hospital)"
"63",436,"Scenario 5 (high transmissibility in hospital)"
"64",436,"Scenario 5 (high transmissibility in hospital)"
"65",436,"Scenario 5 (high transmissibility in hospital)"
"66",436,"Scenario 5 (high transmissibility in hospital)"
"67",436,"Scenario 5 (high transmissibility in hospital)"
"68",436,"Scenario 5 (high transmissibility in hospital)"
"69",436,"Scenario 5 (high transmissibility in hospital)"
"70",436,"Scenario 5 (high transmissibility in hospital)"
"71",290,"Scenario 5 (high transmissibility in hospital)"
"72",290,"Scenario 5 (high transmissibility in hospital)"
"73",290,"Scenario 5 (high transmissibility in hospital)"
"74",290,"Scenario 5 (high transmissibility in hospital)"
"75",290,"Scenario 5 (high transmissibility in hospital)"
"76",290,"Scenario 5 (high transmissibility in hospital)"
"77",290,"Scenario 5 (high transmissibility in hospital)"
"78",290,"Scenario 5 (high transmissibility in hospital)"
"79",290,"Scenario 5 (high transmissibility in hospital)"
"80",290,"Scenario 5 (high transmissibility in hospital)"
"81",217,"Scenario 5 (high transmissibility in hospital)"
"82",217,"Scenario 5 (high transmissibility in hospital)"
"83",217,"Scenario 5 (high transmissibility in hospital)"
"84",217,"Scenario 5 (high transmissibility in hospital)"
"85",217,"Scenario 5 (high transmissibility in hospital)"
"86",217,"Scenario 5 (high transmissibility in hospital)"
"87",217,"Scenario 5 (high transmissibility in hospital)"
"88",217,"Scenario 5 (high transmissibility in hospital)"
"89",217,"Scenario 5 (high transmissibility in hospital)"
"90",217,"Scenario 5 (high transmissibility in hospital)"
"91",173,"Scenario 5 (high transmissibility in hospital)"
"92",173,"Scenario 5 (high transmissibility in hospital)"
"93",173,"Scenario 5 (high transmissibility in hospital)"
"94",173,"Scenario 5 (high transmissibility in hospital)"
"95",173,"Scenario 5 (high transmissibility in hospital)"
"96",173,"Scenario 5 (high transmissibility in hospital)"
"97",173,"Scenario 5 (high transmissibility in hospital)"
"98",173,"Scenario 5 (high transmissibility in hospital)"
"99",173,"Scenario 5 (high transmissibility in hospital)"
