"","percent_reduction","scenario"
"1",0.9,"Scenario 7 (large hospital population size)"
"2",0.9,"Scenario 7 (large hospital population size)"
"3",0.9,"Scenario 7 (large hospital population size)"
"4",0.9,"Scenario 7 (large hospital population size)"
"5",0.9,"Scenario 7 (large hospital population size)"
"6",0.9,"Scenario 7 (large hospital population size)"
"7",0.9,"Scenario 7 (large hospital population size)"
"8",0.9,"Scenario 7 (large hospital population size)"
"9",0.9,"Scenario 7 (large hospital population size)"
"10",0.9,"Scenario 7 (large hospital population size)"
"11",0.9,"Scenario 7 (large hospital population size)"
"12",1.7,"Scenario 7 (large hospital population size)"
"13",1.7,"Scenario 7 (large hospital population size)"
"14",1.7,"Scenario 7 (large hospital population size)"
"15",1.7,"Scenario 7 (large hospital population size)"
"16",1.7,"Scenario 7 (large hospital population size)"
"17",1.7,"Scenario 7 (large hospital population size)"
"18",1.7,"Scenario 7 (large hospital population size)"
"19",1.7,"Scenario 7 (large hospital population size)"
"20",1.7,"Scenario 7 (large hospital population size)"
"21",1.7,"Scenario 7 (large hospital population size)"
"22",1.7,"Scenario 7 (large hospital population size)"
"23",2.6,"Scenario 7 (large hospital population size)"
"24",2.6,"Scenario 7 (large hospital population size)"
"25",2.6,"Scenario 7 (large hospital population size)"
"26",2.6,"Scenario 7 (large hospital population size)"
"27",2.6,"Scenario 7 (large hospital population size)"
"28",2.6,"Scenario 7 (large hospital population size)"
"29",2.6,"Scenario 7 (large hospital population size)"
"30",2.6,"Scenario 7 (large hospital population size)"
"31",2.6,"Scenario 7 (large hospital population size)"
"32",2.6,"Scenario 7 (large hospital population size)"
"33",2.6,"Scenario 7 (large hospital population size)"
"34",3.5,"Scenario 7 (large hospital population size)"
"35",3.5,"Scenario 7 (large hospital population size)"
"36",3.5,"Scenario 7 (large hospital population size)"
"37",3.5,"Scenario 7 (large hospital population size)"
"38",3.5,"Scenario 7 (large hospital population size)"
"39",3.5,"Scenario 7 (large hospital population size)"
"40",3.5,"Scenario 7 (large hospital population size)"
"41",3.5,"Scenario 7 (large hospital population size)"
"42",3.5,"Scenario 7 (large hospital population size)"
"43",3.5,"Scenario 7 (large hospital population size)"
"44",3.5,"Scenario 7 (large hospital population size)"
"45",4.3,"Scenario 7 (large hospital population size)"
"46",4.3,"Scenario 7 (large hospital population size)"
"47",4.3,"Scenario 7 (large hospital population size)"
"48",4.3,"Scenario 7 (large hospital population size)"
"49",4.3,"Scenario 7 (large hospital population size)"
"50",4.3,"Scenario 7 (large hospital population size)"
"51",4.3,"Scenario 7 (large hospital population size)"
"52",4.3,"Scenario 7 (large hospital population size)"
"53",4.3,"Scenario 7 (large hospital population size)"
"54",4.3,"Scenario 7 (large hospital population size)"
"55",4.3,"Scenario 7 (large hospital population size)"
"56",5.2,"Scenario 7 (large hospital population size)"
"57",5.2,"Scenario 7 (large hospital population size)"
"58",5.2,"Scenario 7 (large hospital population size)"
"59",5.2,"Scenario 7 (large hospital population size)"
"60",5.2,"Scenario 7 (large hospital population size)"
"61",5.2,"Scenario 7 (large hospital population size)"
"62",5.2,"Scenario 7 (large hospital population size)"
"63",5.2,"Scenario 7 (large hospital population size)"
"64",5.2,"Scenario 7 (large hospital population size)"
"65",5.2,"Scenario 7 (large hospital population size)"
"66",5.2,"Scenario 7 (large hospital population size)"
"67",6.1,"Scenario 7 (large hospital population size)"
"68",6.1,"Scenario 7 (large hospital population size)"
"69",6.1,"Scenario 7 (large hospital population size)"
"70",6.1,"Scenario 7 (large hospital population size)"
"71",6.1,"Scenario 7 (large hospital population size)"
"72",6.1,"Scenario 7 (large hospital population size)"
"73",6.1,"Scenario 7 (large hospital population size)"
"74",6.1,"Scenario 7 (large hospital population size)"
"75",6.1,"Scenario 7 (large hospital population size)"
"76",6.1,"Scenario 7 (large hospital population size)"
"77",6.1,"Scenario 7 (large hospital population size)"
"78",7,"Scenario 7 (large hospital population size)"
"79",7,"Scenario 7 (large hospital population size)"
"80",7,"Scenario 7 (large hospital population size)"
"81",7,"Scenario 7 (large hospital population size)"
"82",7,"Scenario 7 (large hospital population size)"
"83",7,"Scenario 7 (large hospital population size)"
"84",7,"Scenario 7 (large hospital population size)"
"85",7,"Scenario 7 (large hospital population size)"
"86",7,"Scenario 7 (large hospital population size)"
"87",7,"Scenario 7 (large hospital population size)"
"88",7,"Scenario 7 (large hospital population size)"
"89",7.9,"Scenario 7 (large hospital population size)"
"90",7.9,"Scenario 7 (large hospital population size)"
"91",7.9,"Scenario 7 (large hospital population size)"
"92",7.9,"Scenario 7 (large hospital population size)"
"93",7.9,"Scenario 7 (large hospital population size)"
"94",7.9,"Scenario 7 (large hospital population size)"
"95",7.9,"Scenario 7 (large hospital population size)"
"96",7.9,"Scenario 7 (large hospital population size)"
"97",7.9,"Scenario 7 (large hospital population size)"
"98",7.9,"Scenario 7 (large hospital population size)"
"99",7.9,"Scenario 7 (large hospital population size)"
"100",8.8,"Scenario 7 (large hospital population size)"
"101",8.8,"Scenario 7 (large hospital population size)"
"102",8.8,"Scenario 7 (large hospital population size)"
"103",8.8,"Scenario 7 (large hospital population size)"
"104",8.8,"Scenario 7 (large hospital population size)"
"105",8.8,"Scenario 7 (large hospital population size)"
"106",8.8,"Scenario 7 (large hospital population size)"
"107",8.8,"Scenario 7 (large hospital population size)"
"108",8.8,"Scenario 7 (large hospital population size)"
"109",8.8,"Scenario 7 (large hospital population size)"
"110",8.8,"Scenario 7 (large hospital population size)"
"111",1.7,"Scenario 7 (large hospital population size)"
"112",1.7,"Scenario 7 (large hospital population size)"
"113",1.7,"Scenario 7 (large hospital population size)"
"114",1.7,"Scenario 7 (large hospital population size)"
"115",1.7,"Scenario 7 (large hospital population size)"
"116",1.7,"Scenario 7 (large hospital population size)"
"117",1.7,"Scenario 7 (large hospital population size)"
"118",1.7,"Scenario 7 (large hospital population size)"
"119",1.7,"Scenario 7 (large hospital population size)"
"120",1.7,"Scenario 7 (large hospital population size)"
"121",1.7,"Scenario 7 (large hospital population size)"
"122",3.4,"Scenario 7 (large hospital population size)"
"123",3.4,"Scenario 7 (large hospital population size)"
"124",3.4,"Scenario 7 (large hospital population size)"
"125",3.4,"Scenario 7 (large hospital population size)"
"126",3.4,"Scenario 7 (large hospital population size)"
"127",3.4,"Scenario 7 (large hospital population size)"
"128",3.4,"Scenario 7 (large hospital population size)"
"129",3.4,"Scenario 7 (large hospital population size)"
"130",3.4,"Scenario 7 (large hospital population size)"
"131",3.4,"Scenario 7 (large hospital population size)"
"132",3.4,"Scenario 7 (large hospital population size)"
"133",5.2,"Scenario 7 (large hospital population size)"
"134",5.2,"Scenario 7 (large hospital population size)"
"135",5.2,"Scenario 7 (large hospital population size)"
"136",5.2,"Scenario 7 (large hospital population size)"
"137",5.2,"Scenario 7 (large hospital population size)"
"138",5.2,"Scenario 7 (large hospital population size)"
"139",5.2,"Scenario 7 (large hospital population size)"
"140",5.2,"Scenario 7 (large hospital population size)"
"141",5.2,"Scenario 7 (large hospital population size)"
"142",5.2,"Scenario 7 (large hospital population size)"
"143",5.2,"Scenario 7 (large hospital population size)"
"144",6.9,"Scenario 7 (large hospital population size)"
"145",6.9,"Scenario 7 (large hospital population size)"
"146",6.9,"Scenario 7 (large hospital population size)"
"147",6.9,"Scenario 7 (large hospital population size)"
"148",6.9,"Scenario 7 (large hospital population size)"
"149",6.9,"Scenario 7 (large hospital population size)"
"150",6.9,"Scenario 7 (large hospital population size)"
"151",6.9,"Scenario 7 (large hospital population size)"
"152",6.9,"Scenario 7 (large hospital population size)"
"153",6.9,"Scenario 7 (large hospital population size)"
"154",6.9,"Scenario 7 (large hospital population size)"
"155",8.7,"Scenario 7 (large hospital population size)"
"156",8.7,"Scenario 7 (large hospital population size)"
"157",8.7,"Scenario 7 (large hospital population size)"
"158",8.7,"Scenario 7 (large hospital population size)"
"159",8.7,"Scenario 7 (large hospital population size)"
"160",8.7,"Scenario 7 (large hospital population size)"
"161",8.7,"Scenario 7 (large hospital population size)"
"162",8.7,"Scenario 7 (large hospital population size)"
"163",8.7,"Scenario 7 (large hospital population size)"
"164",8.7,"Scenario 7 (large hospital population size)"
"165",8.7,"Scenario 7 (large hospital population size)"
"166",10.5,"Scenario 7 (large hospital population size)"
"167",10.5,"Scenario 7 (large hospital population size)"
"168",10.5,"Scenario 7 (large hospital population size)"
"169",10.5,"Scenario 7 (large hospital population size)"
"170",10.5,"Scenario 7 (large hospital population size)"
"171",10.5,"Scenario 7 (large hospital population size)"
"172",10.5,"Scenario 7 (large hospital population size)"
"173",10.5,"Scenario 7 (large hospital population size)"
"174",10.5,"Scenario 7 (large hospital population size)"
"175",10.5,"Scenario 7 (large hospital population size)"
"176",10.5,"Scenario 7 (large hospital population size)"
"177",12.2,"Scenario 7 (large hospital population size)"
"178",12.2,"Scenario 7 (large hospital population size)"
"179",12.2,"Scenario 7 (large hospital population size)"
"180",12.2,"Scenario 7 (large hospital population size)"
"181",12.2,"Scenario 7 (large hospital population size)"
"182",12.2,"Scenario 7 (large hospital population size)"
"183",12.2,"Scenario 7 (large hospital population size)"
"184",12.2,"Scenario 7 (large hospital population size)"
"185",12.2,"Scenario 7 (large hospital population size)"
"186",12.2,"Scenario 7 (large hospital population size)"
"187",12.2,"Scenario 7 (large hospital population size)"
"188",14,"Scenario 7 (large hospital population size)"
"189",14,"Scenario 7 (large hospital population size)"
"190",14,"Scenario 7 (large hospital population size)"
"191",14,"Scenario 7 (large hospital population size)"
"192",14,"Scenario 7 (large hospital population size)"
"193",14,"Scenario 7 (large hospital population size)"
"194",14,"Scenario 7 (large hospital population size)"
"195",14,"Scenario 7 (large hospital population size)"
"196",14,"Scenario 7 (large hospital population size)"
"197",14,"Scenario 7 (large hospital population size)"
"198",14,"Scenario 7 (large hospital population size)"
"199",15.8,"Scenario 7 (large hospital population size)"
"200",15.8,"Scenario 7 (large hospital population size)"
"201",15.8,"Scenario 7 (large hospital population size)"
"202",15.8,"Scenario 7 (large hospital population size)"
"203",15.8,"Scenario 7 (large hospital population size)"
"204",15.8,"Scenario 7 (large hospital population size)"
"205",15.8,"Scenario 7 (large hospital population size)"
"206",15.8,"Scenario 7 (large hospital population size)"
"207",15.8,"Scenario 7 (large hospital population size)"
"208",15.8,"Scenario 7 (large hospital population size)"
"209",15.8,"Scenario 7 (large hospital population size)"
"210",17.7,"Scenario 7 (large hospital population size)"
"211",17.7,"Scenario 7 (large hospital population size)"
"212",17.7,"Scenario 7 (large hospital population size)"
"213",17.7,"Scenario 7 (large hospital population size)"
"214",17.7,"Scenario 7 (large hospital population size)"
"215",17.7,"Scenario 7 (large hospital population size)"
"216",17.7,"Scenario 7 (large hospital population size)"
"217",17.7,"Scenario 7 (large hospital population size)"
"218",17.7,"Scenario 7 (large hospital population size)"
"219",17.7,"Scenario 7 (large hospital population size)"
"220",17.7,"Scenario 7 (large hospital population size)"
"221",2.6,"Scenario 7 (large hospital population size)"
"222",2.6,"Scenario 7 (large hospital population size)"
"223",2.6,"Scenario 7 (large hospital population size)"
"224",2.6,"Scenario 7 (large hospital population size)"
"225",2.6,"Scenario 7 (large hospital population size)"
"226",2.6,"Scenario 7 (large hospital population size)"
"227",2.6,"Scenario 7 (large hospital population size)"
"228",2.6,"Scenario 7 (large hospital population size)"
"229",2.6,"Scenario 7 (large hospital population size)"
"230",2.6,"Scenario 7 (large hospital population size)"
"231",2.6,"Scenario 7 (large hospital population size)"
"232",5.2,"Scenario 7 (large hospital population size)"
"233",5.2,"Scenario 7 (large hospital population size)"
"234",5.2,"Scenario 7 (large hospital population size)"
"235",5.2,"Scenario 7 (large hospital population size)"
"236",5.2,"Scenario 7 (large hospital population size)"
"237",5.2,"Scenario 7 (large hospital population size)"
"238",5.2,"Scenario 7 (large hospital population size)"
"239",5.2,"Scenario 7 (large hospital population size)"
"240",5.2,"Scenario 7 (large hospital population size)"
"241",5.2,"Scenario 7 (large hospital population size)"
"242",5.2,"Scenario 7 (large hospital population size)"
"243",7.8,"Scenario 7 (large hospital population size)"
"244",7.8,"Scenario 7 (large hospital population size)"
"245",7.8,"Scenario 7 (large hospital population size)"
"246",7.8,"Scenario 7 (large hospital population size)"
"247",7.8,"Scenario 7 (large hospital population size)"
"248",7.8,"Scenario 7 (large hospital population size)"
"249",7.8,"Scenario 7 (large hospital population size)"
"250",7.8,"Scenario 7 (large hospital population size)"
