"","percent_reduction","scenario"
"1",1.13,"Scenario 4 (low transmissibilty in hospital)"
"2",2.24,"Scenario 4 (low transmissibilty in hospital)"
"3",3.34,"Scenario 4 (low transmissibilty in hospital)"
"4",4.45,"Scenario 4 (low transmissibilty in hospital)"
"5",5.56,"Scenario 4 (low transmissibilty in hospital)"
"6",6.67,"Scenario 4 (low transmissibilty in hospital)"
"7",7.78,"Scenario 4 (low transmissibilty in hospital)"
"8",8.88,"Scenario 4 (low transmissibilty in hospital)"
"9",9.99,"Scenario 4 (low transmissibilty in hospital)"
"10",11.1,"Scenario 4 (low transmissibilty in hospital)"
"11",2.24,"Scenario 4 (low transmissibilty in hospital)"
"12",2.24,"Scenario 4 (low transmissibilty in hospital)"
"13",4.44,"Scenario 4 (low transmissibilty in hospital)"
"14",4.44,"Scenario 4 (low transmissibilty in hospital)"
"15",6.63,"Scenario 4 (low transmissibilty in hospital)"
"16",6.63,"Scenario 4 (low transmissibilty in hospital)"
"17",8.82,"Scenario 4 (low transmissibilty in hospital)"
"18",8.82,"Scenario 4 (low transmissibilty in hospital)"
"19",11,"Scenario 4 (low transmissibilty in hospital)"
"20",11,"Scenario 4 (low transmissibilty in hospital)"
"21",13.16,"Scenario 4 (low transmissibilty in hospital)"
"22",13.16,"Scenario 4 (low transmissibilty in hospital)"
"23",15.33,"Scenario 4 (low transmissibilty in hospital)"
"24",15.33,"Scenario 4 (low transmissibilty in hospital)"
"25",17.48,"Scenario 4 (low transmissibilty in hospital)"
"26",17.48,"Scenario 4 (low transmissibilty in hospital)"
"27",19.63,"Scenario 4 (low transmissibilty in hospital)"
"28",19.63,"Scenario 4 (low transmissibilty in hospital)"
"29",21.75,"Scenario 4 (low transmissibilty in hospital)"
"30",21.75,"Scenario 4 (low transmissibilty in hospital)"
"31",3.34,"Scenario 4 (low transmissibilty in hospital)"
"32",3.34,"Scenario 4 (low transmissibilty in hospital)"
"33",6.62,"Scenario 4 (low transmissibilty in hospital)"
"34",6.62,"Scenario 4 (low transmissibilty in hospital)"
"35",9.88,"Scenario 4 (low transmissibilty in hospital)"
"36",9.88,"Scenario 4 (low transmissibilty in hospital)"
"37",13.13,"Scenario 4 (low transmissibilty in hospital)"
"38",13.13,"Scenario 4 (low transmissibilty in hospital)"
"39",16.32,"Scenario 4 (low transmissibilty in hospital)"
"40",16.32,"Scenario 4 (low transmissibilty in hospital)"
"41",19.51,"Scenario 4 (low transmissibilty in hospital)"
"42",19.51,"Scenario 4 (low transmissibilty in hospital)"
"43",22.67,"Scenario 4 (low transmissibilty in hospital)"
"44",22.67,"Scenario 4 (low transmissibilty in hospital)"
"45",25.8,"Scenario 4 (low transmissibilty in hospital)"
"46",25.8,"Scenario 4 (low transmissibilty in hospital)"
"47",28.91,"Scenario 4 (low transmissibilty in hospital)"
"48",28.91,"Scenario 4 (low transmissibilty in hospital)"
"49",31.98,"Scenario 4 (low transmissibilty in hospital)"
"50",31.98,"Scenario 4 (low transmissibilty in hospital)"
"51",4.43,"Scenario 4 (low transmissibilty in hospital)"
"52",4.43,"Scenario 4 (low transmissibilty in hospital)"
"53",4.43,"Scenario 4 (low transmissibilty in hospital)"
"54",8.79,"Scenario 4 (low transmissibilty in hospital)"
"55",8.79,"Scenario 4 (low transmissibilty in hospital)"
"56",8.79,"Scenario 4 (low transmissibilty in hospital)"
"57",13.09,"Scenario 4 (low transmissibilty in hospital)"
